Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,204.00817740868115,0.6202823874390897,22.036199095022628,0.0
AAPL,129.30240109213406,0.524788979585782,71.50185397435686,0.0
AMZN,395.4440569362202,0.6817735904976145,3.4596005635271947,0.0
BAC,92.87047752719407,1.5147451395778895,4.552469135802468,0.0
F,80.14483937841038,1.0945768137014058,5.696202531645573,0.0
GOOG,133.35115008696584,1.254597545732143,8.700537178977282,0.0
IBM,83.66040828613089,2.0686515391582767,6.968409173519099,0.0
INTC,76.87114071494997,3.968501846931196,72.70863559570701,0.0
NVDA,251.59058471316087,0.5591495036554259,12.105695918672442,0.0
XOM,55.85441360495707,3.40397765648859,22.732544107439214,0.0
